Question,infomation,productTopSell,recommendedProduct,ingredient,quality,greeting
cậu giúp mình với tôi có thể tìm sản phẩm chứa bơ ở đâu,0,0,0,1,0,0
cậu giúp mình với sản phẩm chứa sữa nào phổ biến nhất,0,0,0,1,0,0
bạn cho mình xin thông tin về sản phẩm espresso có đáng để sử dụng không,0,0,0,0,1,0
bạn có thể trả lời thắc mắc của mình americano có an toàn khi sử dụng không,0,0,0,0,1,0
mình có một thắc mắc có thể đặt hàng cà phê bây giờ được không,1,0,0,0,0,0
cậu cậu giúp mình với,0,0,0,0,0,1
cho mình thắc mắc americano có phải là sản phẩm ngon nhất không,0,0,0,0,1,0
americano và cà phê thì cái nào ngon hơn theo bạn,0,0,0,0,1,0
bạn có thể trả lời giúp mình có nên tin tưởng vào chất lượng của cà phê không,0,0,0,0,1,0
cho mình hỏi em thích cà phê nào thì nên mua gì,0,0,1,0,0,0
cậu giúp mình với mình muốn biết cà phê nào là tốt nhất,0,0,1,0,0,0
mình cần chút thông tin về sản phẩm có chứa socola không,0,0,0,1,0,0
cậu giúp mình với có cà phê nào phù hợp với bạn không,0,0,1,0,0,0
mình muốn biết có nên thử americano không,0,0,0,0,1,0
chào quán bạn giúp mình chút được không,0,0,0,0,0,1
mình muốn hỏi sản phẩm nào được chế biến bởi bột mì,0,0,0,1,0,0
cho mình thắc mắc espresso có sẵn không,1,0,0,0,0,0
bạn có thể trả lời thắc mắc của mình cà phê có ngon không,0,0,0,0,1,0
mình cần chút thông tin về espresso có khuyến mãi không và giá hiện tại là bao nhiêu,1,0,0,0,0,0
có thể hỏi bạn về thông tin về americanothông tin chi tiết về americano,1,0,0,0,0,0
bạn cho mình xin thông tin về công thức chế biến americano là gì,1,0,0,0,0,0
bạn có thể trả lời giúp mình sản phẩm americano có đáng mua không,0,0,0,0,1,0
mình muốn tìm hiểu về có sản phẩm nào đang hot và có lượng bán cao không,0,1,0,0,0,0
bạn có thể trả lời thắc mắc của mình espresso được mô tả như thế nào,1,0,0,0,0,0
mình thắc mắc chút americano có tốt không,0,0,0,0,1,0
bạn có thể cho tớ thông tin về bạn có thể gợi ý cà phê cho em không,0,0,1,0,0,0
mình hỏi chút sản phẩm cà phê có đáng để sử dụng không,0,0,0,0,1,0
mình thắc mắc muốn hỏi bạn có sản phẩm nào được chế biến từ socola,0,0,0,1,0,0
cho mình thắc mắc espresso được mô tả như thế nào,1,0,0,0,0,0
top sản phẩm bán chạy và được khách hàng yêu thích là gì,0,1,0,0,0,0
mình hỏi chút cà phê nào mình nên xem xét,0,0,1,0,0,0
hey có thể giúp mình giải đáp,0,0,0,0,0,1
mình muốn hỏi chất lượng của cà phê có đảm bảo không,0,0,0,0,1,0
nhân viên bạn cho mình xin thông tin về,0,0,0,0,0,1
bạn có thể cung cấp thông tin về sản phẩm chứa mật ong nào phổ biến nhất,0,0,0,1,0,0
mình muốn hỏi bạn chút thông tin về tôi có thể tìm sản phẩm chứa đường ở đâu,0,0,0,1,0,0
cho mình thắc mắc gợi ý cà phê nào cho tớ tốt nhất,0,0,1,0,0,0
mình muốn hỏi bạn chút thông tin về espresso được chế biến như thế nào,1,0,0,0,0,0
bạn có thể cho tớ thông tin về công thức chế biến americano là gì,1,0,0,0,0,0
bạn cho mình xin thông tin về cà phê nào tớ nên xem xét,0,0,1,0,0,0
americano có tính năng nổi bật nào,1,0,0,0,0,0
bạn có thể trả lời giúp mình tôi nên dùng cà phê nào,0,0,1,0,0,0
hey anh có thể giúp mình giải đáp,0,0,0,0,0,1
có thể cho mình biết gợi ý cà phê nào cho mình tốt nhất,0,0,1,0,0,0
bạn có thể cung cấp thông tin về americano có khuyến mãi không và giá hiện tại là bao nhiêu,1,0,0,0,0,0
bạn có thể trả lời giúp mình rõ hơn về americano,1,0,0,0,0,0
bạn cho mình xin thông tin về mình muốn biết cà phê nào là tốt nhất,0,0,1,0,0,0
có thể hỗ trợ mình với sản phẩm cà phê có đáng mua không,0,0,0,0,1,0
có thể giúp mình giải đáp sản phẩm nào sử dụng socola,0,0,0,1,0,0
cho mình hỏi tôi có thể tìm sản phẩm chứa sữa ở đâu,0,0,0,1,0,0
mình hỏi chút americano có phân loại ra sao,1,0,0,0,0,0
cậu giúp mình với sản phẩm nào sử dụng mật ong,0,0,0,1,0,0
mình muốn hỏi espresso có thành phần đặc trưng nào,1,0,0,0,0,0
có thể hỗ trợ mình với espresso có đáng tiền không,0,0,0,0,1,0
cho mình hỏi chất lượng của americano thế nào,0,0,0,0,1,0
có thể giải đáp giúp mình không espresso có giá hiện tại là bao nhiêu,1,0,0,0,0,0
mình đang thắc mắc về bạn muốn biết cà phê nào là tốt nhất,0,0,1,0,0,0
mình thắc mắc muốn hỏi bạn cho tôi biết cà phê nào phù hợp với em,0,0,1,0,0,0
có thể giúp mình giải đáp giá của cà phê là bao nhiêu,1,0,0,0,0,0
bạn có thể cung cấp thông tin về quán có thể cho biết những sản phẩm nào đang bán chạy theo tuần không,0,1,0,0,0,0
mình muốn hỏi độ ngon của cà phê như thế nào,0,0,0,0,1,0
có thể hỗ trợ mình với gợi ý cho mình cà phê tương tự với,0,0,1,0,0,0
quán mình có một câu hỏi,0,0,0,0,0,1
mình thắc mắc chút espresso là sản phẩm thuộc nhóm nào,1,0,0,0,0,0
cho mình hỏi có sản phẩm nào được chế biến từ trứng,0,0,0,1,0,0
bạn có thể cho tớ thông tin về top sản phẩm bán chạy và được khách hàng yêu thích là gì,0,1,0,0,0,0
có thể hỏi bạn về espresso với cà phê khác nhau như thế nào,0,0,0,0,1,0
sản phẩm nào được làm từ phô mai,0,0,0,1,0,0
bạn cho mình hỏi có cà phê nào phù hợp với em không,0,0,1,0,0,0
bạn giúp mình với có sản phẩm nào được chế biến từ socola,0,0,0,1,0,0
cho mình hỏi nên chọn americano hay cà phê,0,0,0,0,1,0
mình có điều muốn hỏi cà phê có đảm bảo chất lượng không,0,0,0,0,1,0
mình thắc mắc muốn hỏi bạn bạn muốn thử cà phê gì,0,0,1,0,0,0
bạn cho mình xin thông tin về cà phê nào phù hợp với tôi,0,0,1,0,0,0
bạn có thể cung cấp thông tin về espresso được làm từ nguyên liệu gì,1,0,0,0,0,0
mình có một thắc mắc có nên thử espresso không,0,0,0,0,1,0
có thể giúp mình giải đáp cà phê có thành phần đặc trưng nào,1,0,0,0,0,0
bạn cho mình hỏi americano có ngon hơn cà phê không,0,0,0,0,1,0
bạn giúp mình với espresso giá bao nhiêu,1,0,0,0,0,0
bạn có thể cung cấp thông tin về cà phê nào tớ nên thử,0,0,1,0,0,0
có thể cho mình biết cửa hàng gợi ý sản phẩm cho em được không,0,0,1,0,0,0
mình hỏi chút tớ thích cà phê nào thì nên mua gì,0,0,1,0,0,0
hey em bạn giúp mình chút được không,0,0,0,0,0,1
americano là sản phẩm thuộc nhóm nào,1,0,0,0,0,0
bạn có thể trả lời giúp mình danh sách sản phẩm bán chạy là gì,0,1,0,0,0,0
cậu giúp mình với espresso được tạo thành từ những nguyên liệu gì,1,0,0,0,0,0
bạn cho mình xin thông tin về sản phẩm chứa cà phê nào phổ biến nhất,0,0,0,1,0,0
hello bạn có thể giải đáp giúp mình không,0,0,0,0,0,1
xin chào mọi người cho mình thắc mắc,0,0,0,0,0,1
bạn có thể cho tớ thông tin về cà phê còn không,1,0,0,0,0,0
mình có điều muốn hỏi trà có trong sản phẩm nào,0,0,0,1,0,0
mình muốn tìm hiểu về rõ hơn về espresso,1,0,0,0,0,0
mình có một thắc mắc có nên lựa chọn espresso không,0,0,0,0,1,0
mình có điều muốn hỏi nguyên liệu chính của espresso là gì,1,0,0,0,0,0
mình muốn hỏi americano với cà phê thì loại nào được ưa chuộng hơn,0,0,0,0,1,0
hey bạn bạn giúp mình với,0,0,0,0,0,1
mình có một câu hỏi có sản phẩm nào được chế biến từ đường,0,0,0,1,0,0
bạn cho mình xin thông tin về gợi ý cho anh cà phê tương tự với,0,0,1,0,0,0
mình muốn tìm hiểu về sản phẩm espresso có thực sự chất lượng không,0,0,0,0,1,0
cho mình hỏi giữa cà phê và espresso thì cái nào phù hợp hơn,0,0,0,0,1,0
mình có điều muốn hỏi quán có thể báo giá cà phê giúp mình được không,1,0,0,0,0,0
bạn có thể cung cấp thông tin về tôi có thể tìm sản phẩm chứa đường ở đâu,0,0,0,1,0,0
có thể cho mình biết sản phẩm nào có sữa,0,0,0,1,0,0
cho mình hỏi gợi ý cho mình cà phê tương tự với,0,0,1,0,0,0
bạn có thể trả lời thắc mắc của mình gợi ý cho tớ cà phê tương tự với,0,0,1,0,0,0
mình thắc mắc chút giá của americano là bao nhiêu,1,0,0,0,0,0
có thể hỏi bạn về espresso là sản phẩm thuộc nhóm nào,1,0,0,0,0,0
cho mình thắc mắc sản phẩm chứa đường nào phổ biến nhất,0,0,0,1,0,0
bạn cho mình xin thông tin về americano thuộc danh mục nào,1,0,0,0,0,0
mình muốn tìm hiểu về espresso là thuộc dòng sản phẩm gì,1,0,0,0,0,0
có thể giải đáp giúp mình không số lượng cà phê hiện tại trong kho là bao nhiêu,1,0,0,0,0,0
mình hỏi chút bạn có thể cho mình biết giá của americano không,1,0,0,0,0,0
có thể hỏi bạn về có sản phẩm nào chứa cà phê không,0,0,0,1,0,0
bạn có thể cung cấp thông tin về tôi muốn thử cà phê gì,0,0,1,0,0,0
bạn có thể cung cấp thông tin về phô mai có trong sản phẩm nào,0,0,0,1,0,0
cho mình hỏi americano có mức giá như thế nào,1,0,0,0,0,0
có thể hỗ trợ mình với cà phê thuộc danh mục nào,1,0,0,0,0,0
bạn cho mình hỏi cà phê nào phù hợp với mình,0,0,1,0,0,0
mình thắc mắc muốn hỏi bạn americano có khuyến mãi không và giá hiện tại là bao nhiêu,1,0,0,0,0,0
cậu giúp mình với có cà phê nào mà tôi không nên bỏ lỡ không,0,0,1,0,0,0
có thể giúp mình giải đáp giữa americano và cà phê thì cái nào phù hợp hơn,0,0,0,0,1,0
mình hỏi chút americano có đảm bảo chất lượng không,0,0,0,0,1,0
cậu có thể cho mình biết thông tin về americanothông tin chi tiết về americano,1,0,0,0,0,0
bạn có thể cho tớ thông tin về sản phẩm nào có mật ong,0,0,0,1,0,0
bạn giúp mình với sản phẩm nào được chế biến bởi cà phê,0,0,0,1,0,0
bạn giúp mình với có sản phẩm nào được chế biến từ bơ,0,0,0,1,0,0
mình thắc mắc chút quán có sản phẩm nào bán rất chạy mà mình nên biết không,0,1,0,0,0,0
mình đang thắc mắc về sản phẩm nào được chế biến bởi bơ,0,0,0,1,0,0
mình muốn biết đường có trong sản phẩm nào,0,0,0,1,0,0
cho mình hỏi có sản phẩm nào được chế biến từ bột mì,0,0,0,1,0,0
có thể hỏi bạn về americano có an toàn khi sử dụng không,0,0,0,0,1,0
mình hỏi chút sản phẩm nào được mua nhiều nhất gần đây,0,1,0,0,0,0
mình muốn tìm hiểu về cà phê có thành phần đặc trưng nào,1,0,0,0,0,0
hello quán bạn có thể trả lời thắc mắc của mình,0,0,0,0,0,1
bạn cho mình hỏi có nên lựa chọn espresso không,0,0,0,0,1,0
bạn mình muốn biết,0,0,0,0,0,1
mình muốn biết anh có thể thử cà phê nào,0,0,1,0,0,0
cho mình hỏi bạn có thể cho mình biết giá của cà phê không,1,0,0,0,0,0
cậu có thể cho mình biết cà phê còn hàng không,1,0,0,0,0,0
mình cần chút thông tin về americano có ngon hơn cà phê không,0,0,0,0,1,0
có thể giúp mình giải đáp americano còn bao nhiêu ly,1,0,0,0,0,0
mình muốn hỏi bạn chút thông tin về danh sách sản phẩm bán chạy hàng đầu,0,1,0,0,0,0
có thể hỗ trợ mình với top sản phẩm nào đang được khách hàng yêu thích nhất hiện nay,0,1,0,0,0,0
mình có điều muốn hỏi có sản phẩm nào được chế biến từ mật ong,0,0,0,1,0,0
bạn có thể cho tớ thông tin về có nên tin tưởng vào chất lượng của espresso không,0,0,0,0,1,0
hiện tại có thể mua bao nhiêu cà phê,1,0,0,0,0,0
cho mình thắc mắc tôi có thể tìm sản phẩm chứa trà ở đâu,0,0,0,1,0,0
bạn giúp mình với nên chọn americano hay cà phê,0,0,0,0,1,0
hey anh bạn cho mình xin thông tin về,0,0,0,0,0,1
mình cần bạn giải đáp giá bán của cà phê hiện tại là bao nhiêu,1,0,0,0,0,0
cậu có thể cho mình biết sản phẩm có chứa đường không,0,0,0,1,0,0
mình muốn hỏi espresso có chất lượng ổn không,0,0,0,0,1,0
xin chào em mình muốn hỏi,0,0,0,0,0,1
cậu giúp mình với bạn có thể cho mình biết giá của espresso không,1,0,0,0,0,0
em bạn có thể trả lời thắc mắc của mình,0,0,0,0,0,1
mình có một thắc mắc cà phê nào tôi nên thử,0,0,1,0,0,0
bạn có thể trả lời giúp mình sản phẩm nào sử dụng trứng,0,0,0,1,0,0
mình có điều muốn hỏi quán có thể báo giá americano giúp mình được không,1,0,0,0,0,0
có thể giúp mình giải đáp americano có chất lượng ổn không,0,0,0,0,1,0
xin chào shop mình hỏi chút,0,0,0,0,0,1
có thể giúp mình giải đáp giá bán của espresso hiện tại là bao nhiêu,1,0,0,0,0,0
mình muốn hỏi sản phẩm nào có bột mì,0,0,0,1,0,0
mình muốn hỏi americano có nổi tiếng không,0,0,0,0,1,0
mình có một thắc mắc bạn có thể gợi ý cà phê cho mình không,0,0,1,0,0,0
mình có một câu hỏi cà phê được chế biến như thế nào,1,0,0,0,0,0
bạn có thể cho tớ thông tin về mình có thể thử cà phê nào,0,0,1,0,0,0
bạn giúp mình chút được không sản phẩm nào sử dụng bơ,0,0,0,1,0,0
hey mình thắc mắc chút,0,0,0,0,0,1
mình có một thắc mắc có sản phẩm nào chứa trứng không,0,0,0,1,0,0
chào shop,0,0,0,0,0,1
bạn cho mình hỏi espresso là thuộc dòng sản phẩm gì,1,0,0,0,0,0
mình thắc mắc chút cà phê còn không,1,0,0,0,0,0
bạn có thể trả lời thắc mắc của mình có cà phê nào mà anh không nên bỏ lỡ không,0,0,1,0,0,0
bạn có thể trả lời giúp mình bạn có thể gợi ý cà phê cho bạn không,0,0,1,0,0,0
cậu giúp mình với sản phẩm nào sử dụng trà,0,0,0,1,0,0
mình có một thắc mắc có gì đặc biệt về espresso mà mình nên biết,1,0,0,0,0,0
mình muốn tìm hiểu về bạn thấy cà phê có đáng thử không,0,0,0,0,1,0
hey mọi người mình có một thắc mắc,0,0,0,0,0,1
bạn có thể cho tớ thông tin về espresso giá bao nhiêu,1,0,0,0,0,0
xin chào cậu mình thắc mắc muốn hỏi bạn,0,0,0,0,0,1
mình có một câu hỏi americano có phù hợp với tôi không,0,0,0,0,1,0
cậu có thể cho mình biết sản phẩm cà phê có xứng đáng không,0,0,0,0,1,0
mình cần chút thông tin về sản phẩm có chứa mật ong không,0,0,0,1,0,0
mình cần bạn giải đáp sản phẩm cà phê có phải là sự lựa chọn hoàn hảo không,0,0,0,0,1,0
mình muốn tìm hiểu về em có thể thử cà phê nào,0,0,1,0,0,0
mình muốn tìm hiểu về những sản phẩm nào đang được khách hàng săn đón nhiều nhất,0,1,0,0,0,0
bạn giúp mình với americano có được nhiều người đánh giá cao không,0,0,0,0,1,0
bạn giúp mình với espresso là sản phẩm thuộc nhóm nào,1,0,0,0,0,0
mình muốn biết thành phần của espresso không,1,0,0,0,0,0
mình cần bạn giải đáp sản phẩm nào có trứng,0,0,0,1,0,0
cậu có thể cho mình biết espresso có đảm bảo chất lượng không,0,0,0,0,1,0
tôi muốn thử cà phê gì,0,0,1,0,0,0
bạn có thể cung cấp thông tin về người dùng nói gì về cà phê,0,0,0,0,1,0
mình đang thắc mắc về cà phê có đáng tin cậy không,0,0,0,0,1,0
bạn có thể trả lời giúp mình cà phê nào phù hợp với bạn,0,0,1,0,0,0
cậu giúp mình với americano giá bao nhiêu,1,0,0,0,0,0
mình cần bạn giải đáp tôi thích cà phê nào thì nên mua gì,0,0,1,0,0,0
bạn có thể trả lời thắc mắc của mình cà phê nào phù hợp với tớ,0,0,1,0,0,0
cho mình hỏi sản phẩm nào có cà phê,0,0,0,1,0,0
mình đang thắc mắc về cà phê nào phù hợp với mình,0,0,1,0,0,0
cậu có thể cho mình biết quán có thể báo giá cà phê giúp mình được không,1,0,0,0,0,0
mình muốn hỏi bạn chút thông tin về sản phẩm nào được chế biến bởi trứng,0,0,0,1,0,0
bạn có thể cung cấp thông tin về sản phẩm nào được làm từ bơ,0,0,0,1,0,0
mình hỏi chút sản phẩm nào sử dụng bột mì,0,0,0,1,0,0
có thể giải đáp giúp mình không cà phê có nổi tiếng không,0,0,0,0,1,0
mình đang thắc mắc về cà phê nào em nên xem xét,0,0,1,0,0,0
có thể hỏi bạn về espresso được chế biến như thế nào,1,0,0,0,0,0
mình có điều muốn hỏi chất lượng của espresso có đảm bảo không,0,0,0,0,1,0
bạn cho mình hỏi sản phẩm nào hot nhất hiện nay,0,1,0,0,0,0
có thể cho mình biết tớ muốn biết cà phê nào là tốt nhất,0,0,1,0,0,0
hello nhân viên bạn giúp mình với,0,0,0,0,0,1
bạn có thể cung cấp thông tin về mặt hàng nào được xem là xu hướng và đang bán chạy nhất hiện tại,0,1,0,0,0,0
cho mình hỏi có cà phê nào phù hợp với tôi không,0,0,1,0,0,0
mình cần chút thông tin về anh có thể thử cà phê nào,0,0,1,0,0,0
espresso có phân loại ra sao,1,0,0,0,0,0
cậu có thể cho mình biết cà phê nào phù hợp với mình,0,0,1,0,0,0
mình muốn biết mô tả chi tiết về espresso là gì,1,0,0,0,0,0
mình muốn tìm hiểu về tôi nên dùng cà phê nào,0,0,1,0,0,0
mình có một thắc mắc bạn có thể gợi ý cà phê cho anh không,0,0,1,0,0,0
bạn có thể cung cấp thông tin về sản phẩm nào giữa espresso và cà phê là tốt hơn,0,0,0,0,1,0
mình thắc mắc chút espresso thuộc loại nào,1,0,0,0,0,0
hey anh mình thắc mắc chút,0,0,0,0,0,1
có thể giải đáp giúp mình không nên mua americano hay không,0,0,0,0,1,0
cậu có thể cho mình biết chất lượng của cà phê có đảm bảo không,0,0,0,0,1,0
có thể cho mình biết sản phẩm nào được làm từ trứng,0,0,0,1,0,0
mình có một thắc mắc sản phẩm nào được làm từ bơ,0,0,0,1,0,0
mình đang thắc mắc về giá của espresso là bao nhiêu,1,0,0,0,0,0
có thể hỏi bạn về sản phẩm nào được làm từ mật ong,0,0,0,1,0,0
alo bạn mình muốn biết,0,0,0,0,0,1
cho mình thắc mắc gợi ý cà phê mà mình có thể thích,0,0,1,0,0,0
xin chào nhân viên mình muốn tìm hiểu về,0,0,0,0,0,1
mình muốn biết americano là thuộc dòng sản phẩm gì,1,0,0,0,0,0
bạn cho mình xin thông tin về có sản phẩm nào được chế biến từ bơ,0,0,0,1,0,0
bạn giúp mình chút được không cửa hàng gợi ý sản phẩm cho anh được không,0,0,1,0,0,0
có thể giúp mình giải đáp espresso có được nhiều người yêu thích không,0,0,0,0,1,0
mình có một câu hỏi espresso có đảm bảo chất lượng không,0,0,0,0,1,0
hey bạn có thể cho mình biết,0,0,0,0,0,1
cậu mình muốn hỏi,0,0,0,0,0,1
có thể hỏi bạn về cà phê nào mình nên thử,0,0,1,0,0,0
chào nhân viên mình muốn hỏi bạn chút thông tin về,0,0,0,0,0,1
có thể hỗ trợ mình với americano còn bao nhiêu ly,1,0,0,0,0,0
mình có một câu hỏi cà phê có chất lượng không,0,0,0,0,1,0
mình có điều muốn hỏi shop có thể cho biết sản phẩm bán chạy không,0,1,0,0,0,0
cho mình thắc mắc espresso thuộc danh mục nào,1,0,0,0,0,0
bạn giúp mình với sản phẩm chứa trà nào phổ biến nhất,0,0,0,1,0,0
mình có một thắc mắc giá của americano đã giảm hay chưa,1,0,0,0,0,0
bạn có thể trả lời thắc mắc của mình americano có thuộc loại cao cấp không,1,0,0,0,0,0
mình cần chút thông tin về sản phẩm nào có bơ,0,0,0,1,0,0
có thể giải đáp giúp mình không espresso có ngon hơn cà phê không,0,0,0,0,1,0
quán có thể báo giá cà phê giúp mình được không,1,0,0,0,0,0
mình cần bạn giải đáp cà phê nào tớ nên xem xét,0,0,1,0,0,0
cho mình hỏi tôi có thể tìm sản phẩm chứa đường ở đâu,0,0,0,1,0,0
bạn giúp mình chút được không espresso có phân loại ra sao,1,0,0,0,0,0
cậu có thể cho mình biết americano có ngon hơn cà phê không,0,0,0,0,1,0
mình thắc mắc muốn hỏi bạn sản phẩm nào có lượng mua cao nhất,0,1,0,0,0,0
có thể hỗ trợ mình với espresso và cà phê thì cái nào ngon hơn theo bạn,0,0,0,0,1,0
bạn giúp mình với sản phẩm nào sử dụng phô mai,0,0,0,1,0,0
mình muốn biết bạn có thể gợi ý cà phê cho em không,0,0,1,0,0,0
mình thắc mắc muốn hỏi bạn bạn có thể gợi ý cà phê cho tôi không,0,0,1,0,0,0
cho tớ hỏi có cà phê nào mà tôi không nên bỏ lỡ không,0,0,1,0,0,0
có thể cho mình biết tớ có thể tham khảo cà phê nào,0,0,1,0,0,0
mình muốn hỏi bạn chút thông tin về espresso có khuyến mãi không và giá hiện tại là bao nhiêu,1,0,0,0,0,0
mình có một câu hỏi có sản phẩm nào được chế biến từ socola,0,0,0,1,0,0
bạn có thể cung cấp thông tin về espresso có ngon hơn cà phê không,0,0,0,0,1,0
bạn có thể trả lời thắc mắc của mình người dùng nói gì về espresso,0,0,0,0,1,0
mình thắc mắc muốn hỏi bạn espresso có mức giá như thế nào,1,0,0,0,0,0
cho tớ hỏi espresso có tốt không,0,0,0,0,1,0
có thể giải đáp giúp mình không trà có trong sản phẩm nào,0,0,0,1,0,0
bạn có thể trả lời thắc mắc của mình sản phẩm nào được làm từ cà phê,0,0,0,1,0,0
bạn cho mình hỏi sản phẩm nào được làm từ sữa,0,0,0,1,0,0
mình thắc mắc chút gợi ý cà phê nào cho tớ tốt nhất,0,0,1,0,0,0
mình muốn hỏi americano được giới thiệu ra sao,1,0,0,0,0,0
mình có một thắc mắc sản phẩm chứa mật ong nào phổ biến nhất,0,0,0,1,0,0
mình muốn biết espresso thuộc loại nào,1,0,0,0,0,0
cho tớ hỏi americano có chất lượng ổn không,0,0,0,0,1,0
bạn cho mình xin thông tin về có nên thử cà phê không,0,0,0,0,1,0
cho mình thắc mắc đánh giá về americano có cao không,0,0,0,0,1,0
xin chào cậu có thể cho mình biết,0,0,0,0,0,1
bạn có thể trả lời thắc mắc của mình bạn thấy cà phê có đáng thử không,0,0,0,0,1,0
mình thắc mắc chút tớ nên dùng cà phê nào,0,0,1,0,0,0
bạn giúp mình với sản phẩm nào có cà phê,0,0,0,1,0,0
bạn giúp mình với sản phẩm espresso có hợp lý không,0,0,0,0,1,0
có thể giúp mình giải đáp sản phẩm chứa trà nào phổ biến nhất,0,0,0,1,0,0
cho mình hỏi có nên thử cà phê không,0,0,0,0,1,0
cho tớ hỏi sản phẩm nào sử dụng trứng,0,0,0,1,0,0
bạn giúp mình với mô tả chi tiết về espresso là gì,1,0,0,0,0,0
mình cần chút thông tin về số lượng americano hiện tại trong kho là bao nhiêu,1,0,0,0,0,0
cậu giúp mình với có thể đặt hàng cà phê bây giờ được không,1,0,0,0,0,0
mình muốn hỏi có cà phê nào mà tớ không nên bỏ lỡ không,0,0,1,0,0,0
bạn cho mình xin thông tin về bạn có thể cho mình biết giá của espresso không,1,0,0,0,0,0
mình muốn biết cà phê nào phù hợp với bạn,0,0,1,0,0,0
cho mình thắc mắc americano có được nhiều người đánh giá cao không,0,0,0,0,1,0
bạn giúp mình với cửa hàng gợi ý sản phẩm cho anh được không,0,0,1,0,0,0
cho mình hỏi americano với cà phê thì loại nào được ưa chuộng hơn,0,0,0,0,1,0
cậu có thể cho mình biết americano có thuộc loại cao cấp không,1,0,0,0,0,0
